 data bronce largo15   
t x y θ 
12.620 -4.692 -16.21 -106.1
12.654 -5.901 -15.72 -110.6
12.687 -6.436 -15.50 -112.6
12.721 -6.440 -14.70 -113.7
12.754 -6.482 -14.73 -113.8
12.788 -6.416 -15.46 -112.5
12.821 -5.764 -15.81 -110.0
12.855 -4.890 -16.15 -106.8
12.888 -4.009 -15.95 -104.1
12.922 -2.690 -16.57 -99.2
12.955 0.443 -16.63 -88.5
12.989 1.048 -16.02 -86.3
13.022 3.233 -16.05 -78.6
13.056 4.616 -15.62 -73.5
13.089 5.017 -15.02 -71.5
13.123 5.544 -14.70 -69.3
13.156 5.677 -14.62 -68.8
13.189 5.840 -15.15 -68.9
13.223 4.986 -15.43 -72.1
13.256 4.191 -15.80 -75.1
13.290 2.385 -16.25 -81.6
13.323 1.019 -16.57 -86.5
13.357 -0.713 -16.72 -92.4
13.390 -2.216 -16.69 -97.6
13.424 -3.657 -16.49 -102.5
13.457 -4.507 -16.21 -105.5
13.491 -5.496 -15.94 -109.0
13.524 -6.219 -15.66 -111.7
13.558 -6.615 -15.41 -113.2
13.591 -6.618 -15.41 -113.2
13.625 -6.077 -15.72 -111.1
13.658 -5.603 -15.91 -109.4
13.692 -4.677 -16.19 -106.1
13.725 -3.797 -16.47 -103.0
13.759 -2.728 -16.58 -99.3
13.792 -0.729 -16.69 -92.5
13.826 0.230 -16.64 -89.2
13.859 2.162 -16.32 -82.5
13.892 3.220 -16.01 -78.6
13.926 4.285 -15.60 -74.6
13.959 4.907 -15.09 -72.0
13.993 5.257 -14.87 -70.5
14.026 5.594 -14.53 -68.9
14.060 5.826 -15.12 -68.9
14.093 5.115 -15.38 -71.6
14.127 3.653 -15.76 -77.0
14.160 2.908 -16.13 -79.8
14.194 0.971 -16.56 -86.6
14.227 -0.168 -16.66 -90.6
14.261 -2.274 -16.67 -97.8
14.294 -3.492 -16.51 -101.9
14.328 -4.577 -16.23 -105.8
14.361 -5.512 -15.96 -109.1
14.395 -6.056 -15.75 -111.0
14.428 -5.832 -15.13 -111.1
14.462 -5.856 -15.14 -111.1
14.495 -5.574 -15.29 -110.0
14.529 -5.045 -15.59 -107.9
14.562 -4.264 -15.93 -105.0
14.595 -3.531 -16.46 -102.1
14.629 -2.498 -16.66 -98.5
14.662 -1.013 -16.72 -93.5
14.696 0.309 -16.64 -88.9
14.729 1.830 -16.39 -83.6
14.763 3.415 -15.98 -77.9
14.796 4.295 -15.71 -74.7
14.830 5.412 -15.30 -70.5
14.863 5.358 -14.89 -70.2
14.897 6.257 -14.75 -67.0
14.930 5.845 -15.15 -68.9
14.964 5.263 -15.37 -71.1
14.997 3.969 -15.85 -75.9
15.031 2.900 -16.15 -79.8
15.064 1.415 -16.49 -85.1
15.098 -0.376 -16.73 -91.3
15.131 -1.964 -16.74 -96.7
15.165 -3.385 -16.56 -101.6
15.198 -4.615 -16.29 -105.8
15.232 -5.341 -16.01 -108.4
15.265 -5.441 -15.32 -109.6
15.298 -5.756 -15.12 -110.8
